['G51', 'G48', 'G33', 'G21', 'G19', 'G14', 'G73', 'G66'];;X;Y;X1;Y1
V7;;744506,2515;6944317,482;744506,248;6944317,532
V8;;744640,4859;6944241,527;744640,5095;6944241,599
V9;;744709,4029;6944282,429;744709,4169;6944282,495
V10;;744648,4337;6944171,16;744648,4497;6944171,232
V11;;744775,9784;6944099,914;744776,0061;6944099,946
V12;;744851,9376;6943999,322;744851,9517;6943999,337
V13;;744958,5756;6944107,759;744958,6138;6944107,754
V14;;744983,8535;6944177,186;744983,8694;6944177,169
V15;;744873,2035;6944252,739;744873,2112;6944252,756
V16;;744961,3708;6944365,323;744961,3927;6944365,329
V17;;744895,9034;6944433,296;744895,9053;6944433,308
V18;;745027,9638;6944505,274;745027,9742;6944505,255
V19;;744947,5346;6944568,047;744947,5341;6944568,059
V20;;744909,3697;6944668,26;744909,3748;6944668,278
V21;;744850,3684;6944704,007;744850,3571;6944704,026
V22;;744801,2743;6944637,621;744801,2928;6944637,669
V23;;744715,7905;6944606,107;744715,8142;6944606,16
V24;;744710,6548;6944516,872;744710,6729;6944516,927
V25;;744799,71;6944440,588;744799,7232;6944440,624
V26;;744659,6291;6944369,937;744659,6545;6944369,991
V27;;744601,7823;6944461,987;744603,0966;6944461,605
V28;;744704,4743;6944714,33;744704,4781;6944714,369
V29;;744692,8655;6944781,472;744692,875;6944781,506
V30;;744591,9094;6944851,083;744591,909;6944851,045
V31;;744387,3439;6944783,044;744387,361;6944782,996
V32;;744500,9832;6944802,778;744500,9932;6944802,758
V33;;744566,617;6944688,76;744566,6149;6944688,784
V34;;744477,3435;6944739,336;744477,1801;6944739,488
['G49', 'G47', 'G32', 'G24', 'G20', 'G77', 'G74', 'G67'];;;;;
V1;;744489,6852;6944624,93;744489,6758;6944624,956
V2;;744358,7608;6944595,209;744358,736;6944595,225
V3;;744292,6733;6944529,698;744292,6446;6944529,697
V4;;744379,7283;6944471,742;744379,6964;6944471,762
V5;;744375,6324;6944361,056;744375,6141;6944361,106
V6;;744365,5113;6944281,736;744365,4823;6944281,783
V7;;744506,2597;6944317,486;744506,248;6944317,532
V8;;744640,4893;6944241,539;744640,5095;6944241,599
V9;;744709,4038;6944282,44;744709,4169;6944282,495
V10;;744648,4373;6944171,173;744648,4497;6944171,232
V11;;744775,9787;6944099,93;744776,0061;6944099,946
V12;;744851,9367;6943999,34;744851,9517;6943999,337
V13;;744958,5704;6944107,776;744958,6138;6944107,754
V14;;744983,8471;6944177,2;744983,8694;6944177,169
V15;;744873,2001;6944252,75;744873,2112;6944252,756
V16;;744961,3638;6944365,333;744961,3927;6944365,329
V17;;744895,8979;6944433,303;744895,9053;6944433,308
V18;;745027,9539;6944505,279;745027,9742;6944505,255
V19;;744947,5264;6944568,052;744947,5341;6944568,059
V20;;744909,3619;6944668,261;744909,3748;6944668,278
