['G51', 'G48', 'G33', 'G21', 'G19', 'G14', 'G73', 'G66'];;X;Y;X1;Y1
V6;;744365,5314;6944281,733;744365,4823;6944281,783
V7;;744506,2779;6944317,479;744506,248;6944317,532
V8;;744640,5038;6944241,532;744640,5095;6944241,599
V9;;744709,418;6944282,431;744709,4169;6944282,495
V10;;744648,4502;6944171,167;744648,4497;6944171,232
V11;;744775,9876;6944099,923;744776,0061;6944099,946
V12;;744851,942;6943999,332;744851,9517;6943999,337
V13;;744958,5761;6944107,764;744958,6138;6944107,754
V14;;744983,8538;6944177,187;744983,8694;6944177,169
V15;;744873,2104;6944252,738;744873,2112;6944252,756
V16;;744961,375;6944365,317;744961,3927;6944365,329
V17;;744895,9118;6944433,288;744895,9053;6944433,308
V18;;745027,9669;6944505,259;745027,9742;6944505,255
V19;;744947,5423;6944568,033;744947,5341;6944568,059
V20;;744909,3807;6944668,241;744909,3748;6944668,278
V21;;744850,3829;6944703,987;744850,3571;6944704,026
V22;;744801,2901;6944637,605;744801,2928;6944637,669
V23;;744715,8102;6944606,094;744715,8142;6944606,16
V24;;744710,6733;6944516,863;744710,6729;6944516,927
V25;;744799,723;6944440,582;744799,7232;6944440,624
V26;;744659,648;6944369,936;744659,6545;6944369,991
V27;;744601,8055;6944461,981;744603,0966;6944461,605
V28;;744704,4962;6944714,311;744704,4781;6944714,369
V29;;744692,889;6944781,45;744692,875;6944781,506
V30;;744591,9395;6944851,055;744591,909;6944851,045
V31;;744387,3831;6944783,021;744387,361;6944782,996
V32;;744501,0164;6944802,758;744500,9932;6944802,758
V33;;744566,6452;6944688,744;744566,6149;6944688,784
V34;;744477,377;6944739,319;744477,1801;6944739,488
['G51', 'G34', 'G32', 'G21', 'G16', 'G77', 'G73', 'G65'];;;;;
V1;;744489,6936;6944624,929;744489,6758;6944624,956
V2;;744358,7711;6944595,212;744358,736;6944595,225
V3;;744292,6833;6944529,703;744292,6446;6944529,697
V4;;744379,736;6944471,745;744379,6964;6944471,762
V5;;744375,6387;6944361,061;744375,6141;6944361,106
V6;;744365,5167;6944281,743;744365,4823;6944281,783
V7;;744506,2636;6944317,489;744506,248;6944317,532
V8;;744640,4862;6944241,54;744640,5095;6944241,599
V9;;744709,4005;6944282,439;744709,4169;6944282,495
V10;;744648,4325;6944171,175;744648,4497;6944171,232
V11;;744775,9705;6944099,931;744776,0061;6944099,946
V12;;744851,9262;6943999,34;744851,9517;6943999,337
V13;;744958,5596;6944107,772;744958,6138;6944107,754
V14;;744983,8375;6944177,194;744983,8694;6944177,169
V15;;744873,1942;6944252,746;744873,2112;6944252,756
V16;;744961,3588;6944365,324;744961,3927;6944365,329
V17;;744895,8952;6944433,295;744895,9053;6944433,308
V18;;745027,9511;6944505,267;745027,9742;6944505,255
V19;;744947,5254;6944568,041;744947,5341;6944568,059
V20;;744909,3636;6944668,249;744909,3748;6944668,278
V21;;744850,3662;6944703,996;744850,3571;6944704,026
V22;;744801,2731;6944637,613;744801,2928;6944637,669
V23;;744715,7933;6944606,102;744715,8142;6944606,16
V24;;744710,6563;6944516,872;744710,6729;6944516,927
V25;;744799,7057;6944440,59;744799,7232;6944440,624
V26;;744659,6307;6944369,944;744659,6545;6944369,991
V27;;744601,7887;6944461,99;744603,0966;6944461,605
V28;;744704,4796;6944714,32;744704,4781;6944714,369
V29;;744692,8726;6944781,459;744692,875;6944781,506
V30;;744591,9257;6944851,065;744591,909;6944851,045
V31;;744387,3696;6944783,032;744387,361;6944782,996
V32;;744500,9998;6944802,767;744500,9932;6944802,758
V33;;744566,6284;6944688,754;744566,6149;6944688,784
V34;;744477,3606;6944739,328;744477,1801;6944739,488
['G53', 'G48', 'G30', 'G26', 'G17', 'G79', 'G73', 'G63'];;;;;
V1;;744489,7085;6944624,909;744489,6758;6944624,956
V2;;744358,7898;6944595,188;744358,736;6944595,225
V3;;744292,7058;6944529,679;744292,6446;6944529,697
V4;;744379,7573;6944471,725;744379,6964;6944471,762
V5;;744375,6619;6944361,042;744375,6141;6944361,106
V6;;744365,5416;6944281,724;744365,4823;6944281,783
V7;;744506,2834;6944317,474;744506,248;6944317,532
V8;;744640,5097;6944241,536;744640,5095;6944241,599
V9;;744709,4209;6944282,436;744709,4169;6944282,495
V10;;744648,458;6944171,173;744648,4497;6944171,232
V11;;744775,9943;6944099,934;744776,0061;6944099,946
V12;;744851,9493;6943999,347;744851,9517;6943999,337
V13;;744958,5779;6944107,781;744958,6138;6944107,754
V14;;744983,8528;6944177,203;744983,8694;6944177,169
V15;;744873,2098;6944252,748;744873,2112;6944252,756
V16;;744961,3688;6944365,327;744961,3927;6944365,329
V17;;744895,9053;6944433,295;744895,9053;6944433,308
V18;;745027,9547;6944505,268;745027,9742;6944505,255
V19;;744947,5307;6944568,039;744947,5341;6944568,059
V20;;744909,367;6944668,244;744909,3748;6944668,278
V21;;744850,3694;6944703,987;744850,3571;6944704,026
V22;;744801,28;6944637,605;744801,2928;6944637,669
V23;;744715,8029;6944606,091;744715,8142;6944606,16
V24;;744710,669;6944516,863;744710,6729;6944516,927
V25;;744799,7189;6944440,586;744799,7232;6944440,624
V26;;744659,6494;6944369,937;744659,6545;6944369,991
V27;;744601,8053;6944461,978;744603,0966;6944461,605
V28;;744704,4859;6944714,306;744704,4781;6944714,369
V29;;744692,8768;6944781,443;744692,875;6944781,506
V30;;744591,9267;6944851,039;744591,909;6944851,045
V31;;744387,3772;6944783;744387,361;6944782,996
V32;;744501,0083;6944802,743;744500,9932;6944802,758
V33;;744566,639;6944688,735;744566,6149;6944688,784
V34;;744477,3713;6944739,305;744477,1801;6944739,488
['G49', 'G56', 'G30', 'G26', 'G20', 'G15', 'G73', 'G64'];;;;;
V1;;744489,6974;6944624,917;744489,6758;6944624,956
V2;;744358,7751;6944595,196;744358,736;6944595,225
V3;;744292,6892;6944529,685;744292,6446;6944529,697
V4;;744379,7421;6944471,73;744379,6964;6944471,762
V5;;744375,6451;6944361,046;744375,6141;6944361,106
V6;;744365,5237;6944281,727;744365,4823;6944281,783
V7;;744506,2688;6944317,477;744506,248;6944317,532
V8;;744640,5017;6944241,535;744640,5095;6944241,599
V9;;744709,4147;6944282,436;744709,4169;6944282,495
V10;;744648,4501;6944171,17;744648,4497;6944171,232
V11;;744775,989;6944099,93;744776,0061;6944099,946
V12;;744851,9442;6943999,342;744851,9517;6943999,337
V13;;744958,5766;6944107,777;744958,6138;6944107,754
V14;;744983,8522;6944177,2;744983,8694;6944177,169
V15;;744873,2065;6944252,748;744873,2112;6944252,756
V16;;744961,3681;6944365,329;744961,3927;6944365,329
V17;;744895,9034;6944433,298;744895,9053;6944433,308
V18;;745027,9557;6944505,273;745027,9742;6944505,255
V19;;744947,5309;6944568,045;744947,5341;6944568,059
V20;;744909,3668;6944668,252;744909,3748;6944668,278
V21;;744850,3675;6944703,996;744850,3571;6944704,026
V22;;744801,2769;6944637,612;744801,2928;6944637,669
V23;;744715,7973;6944606,098;744715,8142;6944606,16
V24;;744710,6632;6944516,868;744710,6729;6944516,927
V25;;744799,7153;6944440,589;744799,7232;6944440,624
V26;;744659,642;6944369,939;744659,6545;6944369,991
V27;;744601,7962;6944461,983;744603,0966;6944461,605
V28;;744704,48;6944714,315;744704,4781;6944714,369
V29;;744692,8705;6944781,454;744692,875;6944781,506
V30;;744591,9154;6944851,055;744591,909;6944851,045
V31;;744387,3602;6944783,015;744387,361;6944782,996
V32;;744500,9974;6944802,755;744500,9932;6944802,758
V33;;744566,6298;6944688,744;744566,6149;6944688,784
V34;;744477,3595;6944739,316;744477,1801;6944739,488
['G50', 'G56', 'G31', 'G23', 'G18', 'G79', 'G75', 'G65'];;;;;
V1;;744489,693;6944624,906;744489,6758;6944624,956
V2;;744358,7706;6944595,184;744358,736;6944595,225
V3;;744292,6848;6944529,672;744292,6446;6944529,697
V4;;744379,739;6944471,719;744379,6964;6944471,762
V5;;744375,6438;6944361,035;744375,6141;6944361,106
V6;;744365,5235;6944281,716;744365,4823;6944281,783
V7;;744506,2692;6944317,467;744506,248;6944317,532
V8;;744640,5002;6944241,522;744640,5095;6944241,599
V9;;744709,4133;6944282,423;744709,4169;6944282,495
V10;;744648,4491;6944171,158;744648,4497;6944171,232
V11;;744775,9894;6944099,918;744776,0061;6944099,946
V12;;744851,9468;6943999,33;744851,9517;6943999,337
V13;;744958,5782;6944107,766;744958,6138;6944107,754
V14;;744983,8536;6944177,19;744983,8694;6944177,169
V15;;744873,207;6944252,737;744873,2112;6944252,756
V16;;744961,3681;6944365,319;744961,3927;6944365,329
V17;;744895,9024;6944433,288;744895,9053;6944433,308
V18;;745027,9553;6944505,264;745027,9742;6944505,255
V19;;744947,5288;6944568,035;744947,5341;6944568,059
V20;;744909,3636;6944668,242;744909,3748;6944668,278
V21;;744850,3641;6944703,986;744850,3571;6944704,026
V22;;744801,2735;6944637,602;744801,2928;6944637,669
V23;;744715,7941;6944606,088;744715,8142;6944606,16
V24;;744710,6604;6944516,857;744710,6729;6944516,927
V25;;744799,7133;6944440,578;744799,7232;6944440,624
V26;;744659,6399;6944369,927;744659,6545;6944369,991
V27;;744601,7937;6944461,972;744603,0966;6944461,605
V28;;744704,4762;6944714,305;744704,4781;6944714,369
V29;;744692,8665;6944781,445;744692,875;6944781,506
V30;;744591,9127;6944851,047;744591,909;6944851,045
V31;;744387,3575;6944783,006;744387,361;6944782,996
V32;;744500,9923;6944802,745;744500,9932;6944802,758
V33;;744566,6255;6944688,734;744566,6149;6944688,784
V34;;744477,3549;6944739,305;744477,1801;6944739,488
['G50', 'G48', 'G32', 'G26', 'G17', 'G14', 'G73', 'G66'];;;;;
V1;;744489,6961;6944624,922;744489,6758;6944624,956
V2;;744358,7758;6944595,202;744358,736;6944595,225
V3;;744292,6907;6944529,692;744292,6446;6944529,697
V4;;744379,744;6944471,737;744379,6964;6944471,762
V5;;744375,6497;6944361,054;744375,6141;6944361,106
V6;;744365,53;6944281,735;744365,4823;6944281,783
V7;;744506,2742;6944317,485;744506,248;6944317,532
V8;;744640,4982;6944241,543;744640,5095;6944241,599
V9;;744709,4105;6944282,443;744709,4169;6944282,495
V10;;744648,4464;6944171,179;744648,4497;6944171,232
V11;;744775,9849;6944099,939;744776,0061;6944099,946
V12;;744851,9424;6943999,351;744851,9517;6943999,337
V13;;744958,5716;6944107,785;744958,6138;6944107,754
V14;;744983,8472;6944177,208;744983,8694;6944177,169
V15;;744873,203;6944252,755;744873,2112;6944252,756
V16;;744961,3632;6944365,335;744961,3927;6944365,329
V17;;744895,8985;6944433,304;744895,9053;6944433,308
V18;;745027,9507;6944505,278;745027,9742;6944505,255
V19;;744947,5244;6944568,049;744947,5341;6944568,059
V20;;744909,3601;6944668,256;744909,3748;6944668,278
V21;;744850,3622;6944704;744850,3571;6944704,026
V22;;744801,2716;6944637,617;744801,2928;6944637,669
V23;;744715,7937;6944606,103;744715,8142;6944606,16
V24;;744710,6594;6944516,873;744710,6729;6944516,927
V25;;744799,7101;6944440,595;744799,7232;6944440,624
V26;;744659,6387;6944369,946;744659,6545;6944369,991
V27;;744601,7946;6944461,989;744603,0966;6944461,605
V28;;744704,477;6944714,319;744704,4781;6944714,369
V29;;744692,8681;6944781,458;744692,875;6944781,506
V30;;744591,9198;6944851,058;744591,909;6944851,045
V31;;744387,3679;6944783,019;744387,361;6944782,996
V32;;744500,9969;6944802,759;744500,9932;6944802,758
V33;;744566,6281;6944688,749;744566,6149;6944688,784
V34;;744477,3597;6944739,32;744477,1801;6944739,488
['G53', 'G34', 'G33', 'G23', 'G18', 'G80', 'G75', 'G66'];;;;;
V1;;744489,6868;6944624,934;744489,6758;6944624,956
V2;;744358,7599;6944595,217;744358,736;6944595,225
V3;;744292,6698;6944529,706;744292,6446;6944529,697
V4;;744379,7246;6944471,748;744379,6964;6944471,762
V5;;744375,6258;6944361,062;744375,6141;6944361,106
V6;;744365,5027;6944281,741;744365,4823;6944281,783
V7;;744506,2539;6944317,488;744506,248;6944317,532
V8;;744640,4829;6944241,534;744640,5095;6944241,599
V9;;744709,3994;6944282,433;744709,4169;6944282,495
V10;;744648,4291;6944171,167;744648,4497;6944171,232
V11;;744775,9705;6944099,92;744776,0061;6944099,946
V12;;744851,9272;6943999,327;744851,9517;6943999,337
V13;;744958,565;6944107,761;744958,6138;6944107,754
V14;;744983,8439;6944177,186;744983,8694;6944177,169
V15;;744873,1973;6944252,74;744873,2112;6944252,756
V16;;744961,3652;6944365,321;744961,3927;6944365,329
V17;;744895,9001;6944433,294;744895,9053;6944433,308
V18;;745027,9599;6944505,267;745027,9742;6944505,255
V19;;744947,5328;6944568,042;744947,5341;6944568,059
V20;;744909,3703;6944668,254;744909,3748;6944668,278
V21;;744850,371;6944704,002;744850,3571;6944704,026
V22;;744801,2762;6944637,617;744801,2928;6944637,669
V23;;744715,7934;6944606,106;744715,8142;6944606,16
V24;;744710,656;6944516,873;744710,6729;6944516,927
V25;;744799,7081;6944440,588;744799,7232;6944440,624
V26;;744659,6283;6944369,941;744659,6545;6944369,991
V27;;744601,7845;6944461,991;744603,0966;6944461,605
V28;;744704,4797;6944714,327;744704,4781;6944714,369
V29;;744692,8724;6944781,469;744692,875;6944781,506
V30;;744591,9208;6944851,079;744591,909;6944851,045
V31;;744387,3576;6944783,045;744387,361;6944782,996
V32;;744500,9937;6944802,778;744500,9932;6944802,758
V33;;744566,6241;6944688,761;744566,6149;6944688,784
V34;;744477,3534;6944739,337;744477,1801;6944739,488
['G52', 'G56', 'G32', 'G23', 'G19', 'G15', 'G74', 'G65'];;;;;
V1;;744489,6863;6944624,92;744489,6758;6944624,956
V2;;744358,7626;6944595,199;744358,736;6944595,225
V3;;744292,676;6944529,688;744292,6446;6944529,697
V4;;744379,73;6944471,734;744379,6964;6944471,762
V5;;744375,6332;6944361,05;744375,6141;6944361,106
V6;;744365,5118;6944281,731;744365,4823;6944281,783
V7;;744506,2585;6944317,482;744506,248;6944317,532
V8;;744640,4919;6944241,534;744640,5095;6944241,599
V9;;744709,4057;6944282,435;744709,4169;6944282,495
V10;;744648,4403;6944171,169;744648,4497;6944171,232
V11;;744775,9807;6944099,929;744776,0061;6944099,946
V12;;744851,937;6943999,341;744851,9517;6943999,337
V13;;744958,5704;6944107,776;744958,6138;6944107,754
V14;;744983,8463;6944177,2;744983,8694;6944177,169
V15;;744873,1995;6944252,748;744873,2112;6944252,756
V16;;744961,3621;6944365,33;744961,3927;6944365,329
V17;;744895,8967;6944433,299;744895,9053;6944433,308
V18;;745027,9505;6944505,276;745027,9742;6944505,255
V19;;744947,5247;6944568,046;744947,5341;6944568,059
V20;;744909,3601;6944668,254;744909,3748;6944668,278
V21;;744850,3603;6944703,999;744850,3571;6944704,026
V22;;744801,269;6944637,615;744801,2928;6944637,669
V23;;744715,7886;6944606,101;744715,8142;6944606,16
V24;;744710,6543;6944516,87;744710,6729;6944516,927
V25;;744799,7074;6944440,59;744799,7232;6944440,624
V26;;744659,6325;6944369,939;744659,6545;6944369,991
V27;;744601,7863;6944461,985;744603,0966;6944461,605
V28;;744704,4713;6944714,319;744704,4781;6944714,369
V29;;744692,8618;6944781,459;744692,875;6944781,506
V30;;744591,9062;6944851,064;744591,909;6944851,045
V31;;744387,3489;6944783,025;744387,361;6944782,996
V32;;744500,9866;6944802,761;744500,9932;6944802,758
V33;;744566,6195;6944688,748;744566,6149;6944688,784
V34;;744477,3485;6944739,321;744477,1801;6944739,488
['G51', 'G47', 'G30', 'G23', 'G19', 'G14', 'G76', 'G67'];;;;;
V1;;744489,6995;6944624,92;744489,6758;6944624,956
V2;;744358,7761;6944595,199;744358,736;6944595,225
V3;;744292,6892;6944529,688;744292,6446;6944529,697
V4;;744379,7434;6944471,732;744379,6964;6944471,762
V5;;744375,6473;6944361,047;744375,6141;6944361,106
V6;;744365,5263;6944281,727;744365,4823;6944281,783
V7;;744506,2734;6944317,477;744506,248;6944317,532
V8;;744640,5025;6944241,532;744640,5095;6944241,599
V9;;744709,4165;6944282,433;744709,4169;6944282,495
V10;;744648,4505;6944171,167;744648,4497;6944171,232
V11;;744775,9909;6944099,925;744776,0061;6944099,946
V12;;744851,9481;6943999,334;744851,9517;6943999,337
V13;;744958,581;6944107,77;744958,6138;6944107,754
V14;;744983,8575;6944177,194;744983,8694;6944177,169
V15;;744873,2113;6944252,743;744873,2112;6944252,756
V16;;744961,3743;6944365,325;744961,3927;6944365,329
V17;;744895,9089;6944433,295;744895,9053;6944433,308
V18;;745027,9637;6944505,27;745027,9742;6944505,255
V19;;744947,5371;6944568,043;744947,5341;6944568,059
V20;;744909,3728;6944668,252;744909,3748;6944668,278
V21;;744850,3737;6944703,997;744850,3571;6944704,026
V22;;744801,2818;6944637,613;744801,2928;6944637,669
V23;;744715,8016;6944606,099;744715,8142;6944606,16
V24;;744710,6667;6944516,868;744710,6729;6944516,927
V25;;744799,719;6944440,587;744799,7232;6944440,624
V26;;744659,6441;6944369,937;744659,6545;6944369,991
V27;;744601,7989;6944461,983;744603,0966;6944461,605
V28;;744704,4852;6944714,317;744704,4781;6944714,369
V29;;744692,8763;6944781,457;744692,875;6944781,506
V30;;744591,9242;6944851,059;744591,909;6944851,045
V31;;744387,3671;6944783,02;744387,361;6944782,996
V32;;744501,0013;6944802,76;744500,9932;6944802,758
V33;;744566,6333;6944688,747;744566,6149;6944688,784
V34;;744477,363;6944739,32;744477,1801;6944739,488
['G50', 'G47', 'G32', 'G21', 'G16', 'G80', 'G74', 'G63'];;;;;
V1;;744489,6904;6944624,918;744489,6758;6944624,956
V2;;744358,768;6944595,199;744358,736;6944595,225
V3;;744292,6811;6944529,689;744292,6446;6944529,697
V4;;744379,7344;6944471,733;744379,6964;6944471,762
V5;;744375,638;6944361,048;744375,6141;6944361,106
V6;;744365,5167;6944281,729;744365,4823;6944281,783
V7;;744506,2631;6944317,477;744506,248;6944317,532
V8;;744640,489;6944241,531;744640,5095;6944241,599
V9;;744709,4028;6944282,431;744709,4169;6944282,495
V10;;744648,4363;6944171,167;744648,4497;6944171,232
V11;;744775,9752;6944099,924;744776,0061;6944099,946
V12;;744851,9317;6943999,334;744851,9517;6943999,337
V13;;744958,5642;6944107,768;744958,6138;6944107,754
V14;;744983,8411;6944177,191;744983,8694;6944177,169
V15;;744873,1964;6944252,74;744873,2112;6944252,756
V16;;744961,3595;6944365,321;744961,3927;6944365,329
V17;;744895,8951;6944433,291;744895,9053;6944433,308
V18;;745027,9497;6944505,264;745027,9742;6944505,255
V19;;744947,5237;6944568,037;744947,5341;6944568,059
V20;;744909,3605;6944668,245;744909,3748;6944668,278
V21;;744850,3623;6944703,991;744850,3571;6944704,026
V22;;744801,2702;6944637,608;744801,2928;6944637,669
V23;;744715,7906;6944606,095;744715,8142;6944606,16
V24;;744710,655;6944516,864;744710,6729;6944516,927
V25;;744799,7058;6944440,584;744799,7232;6944440,624
V26;;744659,6315;6944369,935;744659,6545;6944369,991
V27;;744601,7878;6944461,981;744603,0966;6944461,605
V28;;744704,4752;6944714,313;744704,4781;6944714,369
V29;;744692,8671;6944781,452;744692,875;6944781,506
V30;;744591,9175;6944851,055;744591,909;6944851,045
V31;;744387,3618;6944783,019;744387,361;6944782,996
V32;;744500,9938;6944802,757;744500,9932;6944802,758
V33;;744566,6242;6944688,744;744566,6149;6944688,784
V34;;744477,3553;6944739,317;744477,1801;6944739,488
['G50', 'G34', 'G32', 'G22', 'G18', 'G14', 'G74', 'G66'];;;;;
V1;;744489,6876;6944624,932;744489,6758;6944624,956
V2;;744358,7636;6944595,214;744358,736;6944595,225
V3;;744292,6755;6944529,704;744292,6446;6944529,697
V4;;744379,7297;6944471,747;744379,6964;6944471,762
V5;;744375,6329;6944361,062;744375,6141;6944361,106
V6;;744365,5113;6944281,743;744365,4823;6944281,783
V7;;744506,2595;6944317,491;744506,248;6944317,532
V8;;744640,4855;6944241,541;744640,5095;6944241,599
V9;;744709,4003;6944282,44;744709,4169;6944282,495
V10;;744648,4325;6944171,175;744648,4497;6944171,232
V11;;744775,9726;6944099,931;744776,0061;6944099,946
V12;;744851,9297;6943999,34;744851,9517;6943999,337
V13;;744958,5638;6944107,774;744958,6138;6944107,754
V14;;744983,8414;6944177,198;744983,8694;6944177,169
V15;;744873,196;6944252,749;744873,2112;6944252,756
V16;;744961,3607;6944365,33;744961,3927;6944365,329
V17;;744895,8959;6944433,301;744895,9053;6944433,308
V18;;745027,9526;6944505,274;745027,9742;6944505,255
V19;;744947,5257;6944568,048;744947,5341;6944568,059
V20;;744909,3626;6944668,257;744909,3748;6944668,278
V21;;744850,3641;6944704,004;744850,3571;6944704,026
V22;;744801,2709;6944637,62;744801,2928;6944637,669
V23;;744715,7903;6944606,108;744715,8142;6944606,16
V24;;744710,654;6944516,876;744710,6729;6944516,927
V25;;744799,7053;6944440,594;744799,7232;6944440,624
V26;;744659,6291;6944369,946;744659,6545;6944369,991
V27;;744601,7854;6944461,993;744603,0966;6944461,605
V28;;744704,4755;6944714,327;744704,4781;6944714,369
V29;;744692,8677;6944781,467;744692,875;6944781,506
V30;;744591,9181;6944851,074;744591,909;6944851,045
V31;;744387,3598;6944783,038;744387,361;6944782,996
V32;;744500,9923;6944802,773;744500,9932;6944802,758
V33;;744566,6227;6944688,759;744566,6149;6944688,784
V34;;744477,3532;6944739,334;744477,1801;6944739,488
['G52', 'G34', 'G31', 'G24', 'G19', 'G79', 'G76', 'G67'];;;;;
V1;;744489,7073;6944624,945;744489,6758;6944624,956
V2;;744358,7817;6944595,23;744358,736;6944595,225
V3;;744292,6917;6944529,721;744292,6446;6944529,697
V4;;744379,7436;6944471,761;744379,6964;6944471,762
V5;;744375,6421;6944361,075;744375,6141;6944361,106
V6;;744365,5172;6944281,756;744365,4823;6944281,783
V7;;744506,2664;6944317,5;744506,248;6944317,532
V8;;744640,4953;6944241,549;744640,5095;6944241,599
V9;;744709,4114;6944282,447;744709,4169;6944282,495
V10;;744648,4404;6944171,184;744648,4497;6944171,232
V11;;744775,9781;6944099,936;744776,0061;6944099,946
V12;;744851,9307;6943999,342;744851,9517;6943999,337
V13;;744958,5693;6944107,774;744958,6138;6944107,754
V14;;744983,8487;6944177,197;744983,8694;6944177,169
V15;;744873,205;6944252,751;744873,2112;6944252,756
V16;;744961,3732;6944365,33;744961,3927;6944365,329
V17;;744895,9106;6944433,303;744895,9053;6944433,308
V18;;745027,9688;6944505,273;745027,9742;6944505,255
V19;;744947,545;6944568,05;744947,5341;6944568,059
V20;;744909,3849;6944668,26;744909,3748;6944668,278
V21;;744850,3867;6944704,008;744850,3571;6944704,026
V22;;744801,292;6944637,625;744801,2928;6944637,669
V23;;744715,8098;6944606,115;744715,8142;6944606,16
V24;;744710,6712;6944516,883;744710,6729;6944516,927
V25;;744799,7209;6944440,599;744799,7232;6944440,624
V26;;744659,6422;6944369,954;744659,6545;6944369,991
V27;;744601,8003;6944462,003;744603,0966;6944461,605
V28;;744704,4977;6944714,334;744704,4781;6944714,369
V29;;744692,8914;6944781,475;744692,875;6944781,506
V30;;744591,9399;6944851,082;744591,909;6944851,045
V31;;744387,3786;6944783,05;744387,361;6944782,996
V32;;744501,0163;6944802,786;744500,9932;6944802,758
V33;;744566,644;6944688,77;744566,6149;6944688,784
V34;;744477,3751;6944739,346;744477,1801;6944739,488
['G53', 'G48', 'G30', 'G23', 'G16', 'G77', 'G68', 'G65'];;;;;
V1;;744489,6966;6944624,906;744489,6758;6944624,956
V2;;744358,7761;6944595,184;744358,736;6944595,225
V3;;744292,6918;6944529,672;744292,6446;6944529,697
V4;;744379,7461;6944471,72;744379,6964;6944471,762
V5;;744375,653;6944361,037;744375,6141;6944361,106
V6;;744365,5342;6944281,719;744365,4823;6944281,783
V7;;744506,2783;6944317,471;744506,248;6944317,532
V8;;744640,5058;6944241,528;744640,5095;6944241,599
V9;;744709,4178;6944282,429;744709,4169;6944282,495
V10;;744648,4552;6944171,164;744648,4497;6944171,232
V11;;744775,9953;6944099,926;744776,0061;6944099,946
V12;;744851,954;6943999,34;744851,9517;6943999,337
V13;;744958,5824;6944107,776;744958,6138;6944107,754
V14;;744983,857;6944177,199;744983,8694;6944177,169
V15;;744873,2109;6944252,744;744873,2112;6944252,756
V16;;744961,3699;6944365,326;744961,3927;6944365,329
V17;;744895,9039;6944433,294;744895,9053;6944433,308
V18;;745027,9552;6944505,271;745027,9742;6944505,255
V19;;744947,528;6944568,04;744947,5341;6944568,059
V20;;744909,3621;6944668,246;744909,3748;6944668,278
V21;;744850,3632;6944703,989;744850,3571;6944704,026
V22;;744801,2736;6944637,605;744801,2928;6944637,669
V23;;744715,7956;6944606,091;744715,8142;6944606,16
V24;;744710,6627;6944516,86;744710,6729;6944516,927
V25;;744799,7152;6944440,583;744799,7232;6944440,624
V26;;744659,6442;6944369,931;744659,6545;6944369,991
V27;;744601,7981;6944461,975;744603,0966;6944461,605
V28;;744704,4769;6944714,307;744704,4781;6944714,369
V29;;744692,8668;6944781,445;744692,875;6944781,506
V30;;744591,9156;6944851,047;744591,909;6944851,045
V31;;744387,3636;6944783,005;744387,361;6944782,996
V32;;744500,9944;6944802,744;744500,9932;6944802,758
V33;;744566,6279;6944688,734;744566,6149;6944688,784
V34;;744477,3581;6944739,305;744477,1801;6944739,488
['G51', 'G48', 'G31', 'G26', 'G17', 'G15', 'G75', 'G64'];;;;;
V1;;744489,7128;6944624,912;744489,6758;6944624,956
V2;;744358,794;6944595,193;744358,736;6944595,225
V3;;744292,7092;6944529,684;744292,6446;6944529,697
V4;;744379,7595;6944471,729;744379,6964;6944471,762
V5;;744375,6623;6944361,046;744375,6141;6944361,106
V6;;744365,5408;6944281,728;744365,4823;6944281,783
V7;;744506,2827;6944317,475;744506,248;6944317,532
V8;;744640,5084;6944241,538;744640,5095;6944241,599
V9;;744709,42;6944282,437;744709,4169;6944282,495
V10;;744648,4557;6944171,176;744648,4497;6944171,232
V11;;744775,9906;6944099,935;744776,0061;6944099,946
V12;;744851,9437;6943999,346;744851,9517;6943999,337
V13;;744958,5737;6944107,779;744958,6138;6944107,754
V14;;744983,8495;6944177,2;744983,8694;6944177,169
V15;;744873,2078;6944252,747;744873,2112;6944252,756
V16;;744961,3681;6944365,325;744961,3927;6944365,329
V17;;744895,9057;6944433,293;744895,9053;6944433,308
V18;;745027,9556;6944505,264;745027,9742;6944505,255
V19;;744947,5329;6944568,037;744947,5341;6944568,059
V20;;744909,3708;6944668,242;744909,3748;6944668,278
V21;;744850,3738;6944703,986;744850,3571;6944704,026
V22;;744801,2836;6944637,604;744801,2928;6944637,669
V23;;744715,8063;6944606,092;744715,8142;6944606,16
V24;;744710,6712;6944516,864;744710,6729;6944516,927
V25;;744799,7199;6944440,586;744799,7232;6944440,624
V26;;744659,6497;6944369,939;744659,6545;6944369,991
V27;;744601,807;6944461,98;744603,0966;6944461,605
V28;;744704,4907;6944714,306;744704,4781;6944714,369
V29;;744692,8825;6944781,443;744692,875;6944781,506
V30;;744591,933;6944851,039;744591,909;6944851,045
V31;;744387,383;6944783,002;744387,361;6944782,996
V32;;744501,0149;6944802,746;744500,9932;6944802,758
V33;;744566,6439;6944688,737;744566,6149;6944688,784
V34;;744477,3771;6944739,308;744477,1801;6944739,488
['G50', 'G47', 'G33', 'G21', 'G16', 'G79', 'G76', 'G67'];;;;;
V1;;744489,6903;6944624,928;744489,6758;6944624,956
V2;;744358,7638;6944595,21;744358,736;6944595,225
V3;;744292,6741;6944529,699;744292,6446;6944529,697
V4;;744379,7292;6944471,74;744379,6964;6944471,762
V5;;744375,6312;6944361,052;744375,6141;6944361,106
V6;;744365,5086;6944281,731;744365,4823;6944281,783
V7;;744506,2595;6944317,478;744506,248;6944317,532
V8;;744640,4884;6944241,529;744640,5095;6944241,599
V9;;744709,4047;6944282,429;744709,4169;6944282,495
